,id,kanji,kana,hiragana,level,haskanji
392,392,テレビ,テレビ,てれび,n5,False
393,393,天気,てんき,てんき,n5,True
394,394,電気,でんき,でんき,n5,True
395,395,電車,でんしゃ,でんしゃ,n5,True
396,396,電話,でんわ,でんわ,n5,True
397,397,戸,と,と,n5,True
398,398,ドア,ドア,どあ,n5,False
399,399,トイレ,トイレ,といれ,n5,False
400,400,如何,どう,どう,n5,True
401,401,如何して,どうして,どうして,n5,True
402,402,どうぞ,どうぞ,どうぞ,n5,False
403,403,動物,どうぶつ,どうぶつ,n5,True
404,404,どうも,どうも,どうも,n5,False
405,405,遠い,とおい,とおい,n5,True
406,406,十日,とおか,とおか,n5,True
407,407,時々,ときどき,ときどき,n5,True
408,408,時計,とけい,とけい,n5,True
409,409,何処,どこ,どこ,n5,True
410,410,所,ところ,ところ,n5,True
411,411,年,とし,とし,n5,True
412,412,図書館,としょかん,としょかん,n5,True
413,413,何方,どちら,どちら,n5,True
414,414,迚も,とても,とても,n5,True
415,415,隣,となり,となり,n5,True
416,416,何の,どの,どの,n5,True
417,417,飛ぶ,とぶ,とぶ,n5,True
418,418,止まる,とまる,とまる,n5,True
419,419,友達,ともだち,ともだち,n5,True
420,420,土曜日,どようび,どようび,n5,True
421,421,鳥,とり,とり,n5,True
422,422,鳥肉,とりにく,とりにく,n5,True
423,423,取る,とる,とる,n5,True
424,424,撮る,とる,とる,n5,True
425,425,何れ,どれ,どれ,n5,True
426,426,ナイフ,ナイフ,ないふ,n5,False
427,427,中,なか,なか,n5,True
428,428,長い,ながい,ながい,n5,True
429,429,鳴く,なく,なく,n5,True
430,430,無くす,なくす,なくす,n5,True
431,431,何故,なぜ,なぜ,n5,True
432,432,夏,なつ,なつ,n5,True
433,433,夏休み,なつやすみ,なつやすみ,n5,True
434,434,等,など,など,n5,True
435,435,七つ,ななつ,ななつ,n5,True
436,436,何,なに,なに,n5,True
437,437,七日,なのか,なのか,n5,True
438,438,名前,なまえ,なまえ,n5,True
439,439,習う,ならう,ならう,n5,True
440,440,並ぶ,ならぶ,ならぶ,n5,True
441,441,並べる,ならべる,ならべる,n5,True
442,442,成る,なる,なる,n5,True
443,443,二,に,に,n5,True
444,444,賑やか,にぎやか,にぎやか,n5,True
445,445,肉,にく,にく,n5,True
446,446,西,にし,にし,n5,True
447,447,日曜日,にちようび,にちようび,n5,True
448,448,荷物,にもつ,にもつ,n5,True
449,449,ニュース,ニュース,にゅーす,n5,False
450,450,庭,にわ,にわ,n5,True
451,451,脱ぐ,ぬぐ,ぬぐ,n5,True
452,452,温い,ぬるい,ぬるい,n5,True
453,453,ネクタイ,ネクタイ,ねくたい,n5,False
454,454,猫,ねこ,ねこ,n5,True
455,455,寝る,ねる,ねる,n5,True
456,456,ノート,ノート,のーと,n5,False
457,457,上る,のぼる,のぼる,n5,True
458,458,飲み物,のみもの,のみもの,n5,True
459,459,飲む,のむ,のむ,n5,True
460,460,乗る,のる,のる,n5,True
461,461,歯,は,は,n5,True
462,462,パーティ,パーティ,ぱーてぃ,n5,False
463,463,はい,はい,はい,n5,False
464,464,灰皿,はいざら,はいざら,n5,True
465,465,入る,はいる,はいる,n5,True
466,466,葉書,はがき,はがき,n5,True
467,467,箱,はこ,はこ,n5,True
468,468,橋,はし,はし,n5,True
469,469,箸,はし,はし,n5,True
470,470,始まる,はじまる,はじまる,n5,True
471,471,始め,はじめ,はじめ,n5,True
472,472,初めて,はじめて,はじめて,n5,True
